seq_len,k,method,query_size,query_time
250000,10,naive,39,8.311999370774112e-05
250000,10,naive,49,7.125658866686698e-05
250000,10,naive,56,7.388448934950586e-05
250000,10,naive,24,8.165501207711706e-05
250000,10,naive,20,7.541341135701336e-05
250000,10,naive,36,7.267083440508162e-05
250000,10,naive,23,7.710548547598031e-05
250000,10,naive,52,7.631956053174232e-05
500000,10,naive,47,6.0929739770810465e-05
500000,10,naive,37,6.016432228734938e-05
500000,10,naive,29,6.404351652338264e-05
500000,10,naive,28,6.039560276226406e-05
500000,10,naive,59,6.10921064369109e-05
500000,10,naive,51,6.307190300053002e-05
500000,10,naive,48,5.8515505357222125e-05
500000,10,naive,34,5.7575592934835904e-05
500000,10,naive,45,6.362154513974733e-05
500000,10,naive,40,5.333210394634464e-05
500000,10,naive,21,6.4127757901051e-05
500000,10,naive,35,5.971445582219674e-05
500000,10,naive,46,5.981449253302961e-05
500000,10,naive,38,6.250450105378123e-05
500000,10,naive,53,6.534389613829938e-05
500000,10,naive,55,5.9890946583767815e-05
500000,10,naive,30,6.367740559667237e-05
500000,10,naive,26,6.234258171019516e-05
500000,10,naive,58,7.011966099814763e-05
500000,10,naive,25,6.096344441175461e-05
500000,10,naive,32,6.621012549182686e-05
500000,10,naive,31,6.712348230423466e-05
500000,10,naive,44,6.115339635833492e-05
500000,10,naive,42,5.8812283455057344e-05
500000,10,naive,41,6.396878034548652e-05
500000,10,naive,50,6.392486857180773e-05
500000,10,naive,27,6.30391055140002e-05
500000,10,naive,57,5.683279412937915e-05
500000,10,naive,43,5.894777726153938e-05
500000,10,naive,33,5.9903363773331105e-05
500000,10,naive,54,6.293788436771363e-05
500000,10,naive,22,5.7791056257955145e-05
500000,10,naive,39,6.973216811337145e-05
500000,10,naive,49,5.865606487306774e-05
500000,10,naive,56,6.380718424572922e-05
500000,10,naive,24,6.230576450087459e-05
500000,10,naive,20,5.9588496903499283e-05
500000,10,naive,36,6.373524665832519e-05
500000,10,naive,23,7.007397138155423e-05
500000,10,naive,52,6.236222164690002e-05
1000000,10,naive,47,3.706325184215199e-05
1000000,10,naive,37,3.779136528403072e-05
1000000,10,naive,29,4.397617297226124e-05
1000000,10,naive,28,4.236802567530722e-05
1000000,10,naive,59,3.95861714475068e-05
1000000,10,naive,51,4.3623467795869226e-05
1000000,10,naive,48,4.20998443256725e-05
1000000,10,naive,34,3.6739405229001866e-05
1000000,10,naive,45,4.1337958871060786e-05
1000000,10,naive,40,4.208087921142578e-05
1000000,10,naive,21,4.196655554849594e-05
1000000,10,naive,35,4.3316006165817074e-05
1000000,10,naive,46,3.821199590509588e-05
